name,language,stars,forks,created_at
freeCodeCamp,TypeScript,391986,36034,2014-12-24T17:49:19Z
free-programming-books,,324808,60317,2013-10-11T06:50:37Z
awesome,,308487,26969,2014-07-11T13:42:37Z
coding-interview-university,,297304,74851,2016-06-06T02:34:12Z
public-apis,Python,296842,32199,2016-03-20T23:49:42Z
developer-roadmap,TypeScript,280364,37436,2017-03-15T13:45:52Z
build-your-own-x,,278416,26190,2018-05-09T12:03:18Z
996.ICU,,269355,21232,2019-03-26T07:31:14Z
system-design-primer,Python,262183,44456,2017-02-26T16:15:28Z
react,JavaScript,224619,45816,2013-05-24T16:15:54Z
awesome-python,Python,210850,24599,2014-06-27T21:00:06Z
vue,TypeScript,207298,33633,2013-07-29T03:24:51Z
awesome-selfhosted,,185150,9175,2015-06-01T02:33:17Z
javascript-algorithms,JavaScript,184878,29826,2018-03-24T07:47:04Z
tensorflow,C++,183773,74020,2015-11-07T01:19:20Z
Python,Python,181670,43925,2016-07-16T09:44:01Z
project-based-learning,,179187,23513,2017-04-12T05:07:46Z
You-Dont-Know-JS,,177713,33374,2013-11-16T02:37:24Z
linux,C,173671,52398,2011-09-04T22:48:12Z
CS-Notes,,173354,50753,2018-02-13T14:56:24Z
ohmyzsh,Shell,170411,25679,2009-08-28T18:15:37Z
bootstrap,JavaScript,167950,78514,2011-07-29T21:19:00Z
computer-science,,165242,20856,2014-05-04T00:18:39Z
AutoGPT,Python,163397,43333,2023-03-16T09:21:07Z
flutter,Dart,162960,26796,2015-03-06T22:54:58Z
vscode,TypeScript,160017,28032,2015-09-03T20:23:38Z
gitignore,,159235,83215,2010-11-08T20:17:14Z
Python-100-Days,Python,152044,51583,2018-03-01T16:05:52Z
the-art-of-command-line,,150600,14389,2015-05-20T15:11:03Z
JavaGuide,Java,144450,45376,2018-05-07T13:27:00Z
javascript,JavaScript,142812,26268,2012-11-01T23:13:50Z
the-book-of-secret-knowledge,,135888,9142,2018-06-23T10:43:14Z
stable-diffusion-webui,Python,134739,25760,2022-08-22T14:05:26Z
